Country,ISO3,RES,COM,IND,INF,
Angola,AGO,324,478,418,87,
Albania,ALB,323,477,416,86,
Argentina,ARG,476,684,578,237,
Armenia,ARM,289,430,379,65,
Azerbaijan,AZE,367,538,464,121,
Burundi,BDI,104,166,160,5,
Benin,BEN,161,251,232,14,
Burkina Faso,BFA,152,237,221,12,
Bangladesh,BGD,168,260,240,16,
Bulgaria,BGR,384,561,483,136,
Bosnia and Herzegovina,BIH,329,485,423,91,
Belize,BLZ,333,491,427,94,
Bolivia,BOL,240,362,324,40,
Brazil,BRA,468,673,570,227,
Bhutan,BTN,253,380,339,46,
Botswana,BWA,393,573,492,144,
Central African Republic,CAF,138,216,203,9,
Cote d'Ivoire,CIV,207,315,286,27,
Cameroon,CMR,196,300,274,24,
"Congo, Dem. Rep.",COD,124,196,186,7,
"Congo, Rep.",COG,281,420,371,60,
Colombia,COL,375,548,473,128,
Comoros,COM,167,259,239,16,
Cabo Verde,CPV,299,444,390,71,
Costa Rica,CRI,410,595,510,161,
Djibouti,DJI,209,319,289,28,
Dominica,DMA,392,571,491,143,
Dominican Republic,DOM,354,519,450,109,
Algeria,DZA,328,484,422,90,
Ecuador,ECU,336,495,431,96,
"Egypt, Arab Rep.",EGY,277,413,366,58,
Eritrea,ERI,127,200,189,8,
Spain,ESP,696,973,796,635,
Estonia,EST,523,746,626,302,
Ethiopia,ETH,123,195,185,7,
Gabon,GAB,440,636,541,193,
United Kingdom,GBR,758,1053,856,793,
Georgia,GEO,269,403,358,54,
Ghana,GHA,207,316,287,27,
Guinea,GIN,135,213,200,9,
"Gambia, The",GMB,149,233,218,12,
Guinea-Bissau,GNB,146,229,213,11,
Equatorial Guinea,GNQ,550,781,652,344,
Grenada,GRD,401,584,501,152,
Guatemala,GTM,280,418,369,60,
Guyana,GUY,279,417,369,59,
Honduras,HND,247,372,332,43,
Indonesia,IDN,282,421,372,61,
India,IND,213,324,293,29,
Jamaica,JAM,344,505,439,102,
Jordan,JOR,328,485,423,90,
Kazakhstan,KAZ,435,629,536,187,
Kenya,KEN,184,284,260,20,
Kyrgyz Republic,KGZ,177,273,251,18,
Cambodia,KHM,169,262,242,16,
Lao PDR,LAO,195,298,272,23,
Liberia,LBR,121,192,182,7,
Libya,LBY,490,703,593,256,
St. Lucia,LCA,394,574,493,145,
Sri Lanka,LKA,261,391,348,50,
Lesotho,LSO,192,294,269,22,
Morocco,MAR,277,414,367,58,
Madagascar,MDG,132,209,197,9,
Maldives,MDV,384,560,482,135,
Mexico,MEX,432,625,533,184,
"Macedonia, FYR",MKD,330,487,425,92,
Mali,MLI,160,248,230,14,
Montenegro,MNE,386,563,484,137,
Mongolia,MNG,256,384,342,47,
Mozambique,MOZ,134,211,198,9,
Mauritania,MRT,184,284,260,20,
Mauritius,MUS,406,590,506,157,
Malawi,MWI,125,198,188,7,
Malaysia,MYS,429,621,530,181,
Namibia,NAM,351,515,447,107,
Niger,NER,125,198,188,7,
Nigeria,NGA,257,386,344,48,
Nicaragua,NIC,219,333,301,32,
Nepal,NPL,152,238,221,12,
Pakistan,PAK,188,288,264,21,
Peru,PER,348,511,444,105,
