ISO3,INF_capstock
ABW," 6,603,654,471.10 "
AFG," 9,856,786,848.60 "
AGO," 49,206,538,767.60 "
AIA," 699,947,971.80 "
ALB," 16,948,582,014.30 "
AND," 5,152,053,899.60 "
ARE," 635,584,126,102.30 "
ARG," 821,247,908,900.40 "
ARM," 13,575,632,701.70 "
ASM," 1,845,924,502.50 "
ATG," 2,069,254,488.20 "
AUS," 4,056,591,727,750.50 "
AUT," 1,325,007,715,926.10 "
AZE," 8,734,763,323.00 "
BDI," 1,392,757,852.50 "
BEL," 1,551,030,094,315.00 "
BEN," 8,226,969,324.60 "
BES," 1,973,565,823.50 "
BFA," 5,981,363,720.90 "
BGD," 189,484,532,010.90 "
BGR," 61,358,367,998.50 "
BHR," 75,359,738,075.90 "
BHS," 22,093,479,435.60 "
BIH," 14,928,749,138.80 "
BLM," 812,148,285.50 "
BLR," 70,100,728,586.00 "
BLZ," 853,842,682.10 "
BMU," 6,836,225,875.20 "
BOL," 16,337,742,087.70 "
BRA," 1,977,498,795,700.10 "
BRB," 7,290,575,172.80 "
BRN," 27,711,513,486.40 "
BTN," 2,672,830,151.00 "
BWA," 17,564,255,536.60 "
CAF," 835,861,212.70 "
CAN," 5,840,915,863,070.60 "
CHE," 2,237,027,763,414.50 "
CHL," 618,605,283,518.60 "
CHN," 19,746,248,219,130.00 "
CIV," 18,562,587,664.30 "
CMR," 20,745,068,207.60 "
COD," 15,166,941,001.90 "
COG," 8,155,475,201.30 "
COK," 657,517,152.10 "
COL," 366,426,493,915.00 "
COM," 1,063,906,262.90 "
CPV," 1,253,973,522.90 "
CRI," 54,489,546,589.00 "
CUB," 34,587,654,426.10 "
CUW," 9,536,232,175.80 "
CYM," 8,670,283,084.20 "
CYP," 27,847,785,791.50 "
CZE," 699,745,037,789.40 "
DEU," 13,009,900,451,177.60 "
DJI," 1,096,794,475.10 "
DMA," 785,267,416.60 "
DNK," 1,101,393,184,181.40 "
DOM," 83,933,467,992.50 "
DZA," 317,156,836,981.80 "
ECU," 154,670,916,686.90 "
EGY," 70,715,163,897.50 "
ERI," 1,225,227,511.90 "
ESH," 756,310,676.50 "
ESP," 3,628,976,873,611.10 "
EST," 74,120,307,193.00 "
ETH," 44,241,704,791.70 "
FIN," 762,409,912,593.20 "
FJI," 3,604,375,265.50 "
FLK," 599,602,008.30 "
FRA," 8,864,658,614,848.00 "
FRO," 4,743,829,259.60 "
FSM," 218,417,066.50 "
GAB," 4,563,274,168.80 "
GBR," 7,255,295,840,957.50 "
GEO," 13,079,690,928.20 "
GGY," 9,270,352,064.00 "
GHA," 46,638,697,471.90 "
GIB," 3,633,154,393.80 "
GIN," 2,000,451,804.00 "
