,DFO_ID,ISO3,FE,BQFE,CI,QR
25,3662,BGD,1339369.1539654564,700255.0547585505,-0.525313015801786,0.0010869687797625
26,3065,IDN,116962.08150899006,53894.06805160101,-0.3907868641513851,0.0459466669147127
28,3495,IND,177624.78815661807,76116.88062275504,-0.4974862825308661,0.0232152525663704
30,3495,BGD,132071.16474634004,83930.22997179658,-0.588636986515,0.0
33,3985,VNM,721345.9929815294,510017.7348650942,-0.6807243214414287,0.0012268110933991
34,3985,THA,1615728.8546869413,434342.9571535796,-0.2598620034546237,0.1290928977597009
39,3104,IND,408313.7918995346,189590.59103250963,-0.5037063384029514,0.0034605579740385
40,3104,BGD,5161018.1015032185,2023796.4462555,-0.3916129147247266,0.0391477200117018
43,2657,BGD,1156127.524633299,571504.5283796561,-0.5025194123978849,0.0066215109329468
55,2612,IDN,272993.6505008648,163284.68387261918,-0.5351178690589142,0.0075092369137205
57,3914,PHL,165657.16441816173,23258.024751098623,0.0002220398387597,1.2560289029476437
65,3902,IDN,122164.03187528184,34615.80606082722,-0.2888086935768293,0.1657301261804728
69,3679,IND,486943.5159728952,169216.96860635016,-0.4116960335648674,0.0078072731281037
71,3679,BGD,2092724.2631313968,1010146.3039545004,-0.4830752160588653,0.0075548671222029
73,2894,IND,1034270.4958011626,342732.9209030381,-0.3873607041815847,0.019105088457849
75,2894,BGD,819276.2101214506,392128.4899830192,-0.4758971084044789,0.0059857997389228
77,3895,IDN,140165.9026937213,22351.30881566945,-0.1833722118769993,0.2114638779271973
79,4259,IND,287670.67483333114,120776.31419349014,-0.482057149955127,0.0245445648581587
81,4259,BGD,130449.56155041434,55610.86752790854,-0.4503390316401298,0.0161550159028768
83,3280,IDN,299571.661183113,57814.257668937,-0.2062645294031945,0.3201047526595114
154,2148,IDN,143976.0591346981,30658.690968975727,-0.211229176727132,0.2060218486444796
174,4178,IND,2782244.2565618195,1215544.3894622512,-0.4924374796477816,0.0019218920318834
176,4178,BGD,3793304.2032583016,1954096.587844012,-0.5125803499387204,0.008658048377047
178,2961,IND,1218317.966241341,436495.6007561354,-0.3952650939287666,0.1251179007357743
180,2961,BGD,1140438.7685050375,528916.0182828131,-0.4513447344922924,0.01126700542025
195,3750,COL,138702.19287158496,64834.85304322007,-0.3998871364297203,0.2291388488559017
210,3123,EGY,181700.87554224295,50218.61065570088,-0.1676093193955137,0.3930006494475536
229,3633,BGD,391112.7684613077,183928.9401984361,-0.4856504473764415,0.0
230,2403,IDN,386377.78277204814,164040.73910701653,-0.3781587510885222,0.1153478157134508
231,3888,IDN,578189.1869095045,132033.99412580382,-0.3147701665601231,0.0617136418134967
233,3696,PAK,1430436.6609117575,783580.1787077277,-0.542976433142329,0.0294001886796101
235,4092,VNM,127379.44418389825,106029.61588258152,-0.7661713000551775,0.0013015275252077
237,4092,THA,239125.80816787065,128364.95161427437,-0.5271372115081226,0.0332343148225503
239,4092,KHM,369496.7476314112,148242.98210445297,-0.3187786519414656,0.0837762948986902
245,3097,IND,438929.31180970254,168504.69604809198,-0.4371866801051396,0.0100144800778004
246,3097,BGD,5335184.4408088345,2099917.5258261063,-0.3921715146077819,0.0344303016032658
267,3737,VNM,578543.2128349191,428658.3276619731,-0.7013473715663234,1.2292431491284296e-05
268,3737,THA,335476.5373994772,167728.18908012897,-0.4804632188135845,0.0635525577042905
273,4171,IND,1358475.2982083529,482709.940569278,-0.411439175106273,0.0037380741065858
