,DFO_ID,ISO3,FE,BQFE,CI,QR
8,3168,KHM,88530.19073061185,25184.04110300172,-0.1824990820180969,0.0399040163384969
9,4280,VNM,53372.799115439135,18198.334280378705,-0.2331846885635344,0.3021704326302472
11,4423,VNM,43374.57467543289,33047.47089371417,-0.7336689047171415,0.0011759678764024
13,4423,THA,62591.24936705119,33451.812268229354,-0.5110644250473453,0.0136601075419316
19,3662,BGD,1339369.1539654564,700255.2814547938,-0.5253147324969136,0.0010869635479823
21,3495,BGD,132071.16474634004,83931.05476184099,-0.5886305966325305,0.0
22,3985,VNM,721345.9929815294,509899.8103088944,-0.6807184586625978,0.0012270957384104
23,3985,THA,1615728.8546869413,434031.9698089514,-0.2598497086806154,0.1291823764898065
25,3985,KHM,12264.541086853518,2542.5815494057533,-0.0089009404647395,1.5106347117812582
26,3104,BGD,5161018.1015032185,2024322.5925918128,-0.3916114827376842,0.0391373693317437
28,2657,BGD,1156127.524633299,571883.6856933713,-0.5025223815136524,0.0066170911821335
35,3078,TZA,15583.060117606168,366.7177212183923,0.673816405316257,36.914085277377154
36,3914,PHL,165657.16441816173,23250.79367682265,0.0004118178955685,1.256421279776977
42,3976,NGA,47723.83870124305,38327.04531070702,-0.7197164536809333,0.0103426160035422
45,3679,BGD,2092724.2631313968,1010756.1185988382,-0.4830820360076416,0.0075502751836891
47,2894,BGD,819276.2101214506,392469.3563232291,-0.4758889651399001,0.0059805741199824
51,4259,BGD,130449.56155041434,55672.3542439501,-0.450324080455043,0.0161371012271442
74,2060,TUR,14714.540665788343,3344.9255923725564,0.1074448108160996,1.3903358988490682
82,3616,ZMB,13747.439481983743,6746.619203667119,-0.5438862904991653,0.0
86,3657,UKR,18665.96993373753,937.7711222245256,0.0041327491413423,1.439426270638387
90,3665,TUR,11473.473917520008,250.2800222767724,0.4330262182753408,12.45564708088182
96,2784,TUR,31070.742947320818,1647.4203126750783,0.3079387254993928,7.70259308315338
99,2784,ALB,13475.176224155308,2247.328738624584,0.0301004161044462,0.7638010052227588
100,2784,MKD,12489.950443072192,1232.14272129709,-0.0661627315348966,1.6352965612834158
102,3193,TUR,10144.411176034067,695.6712881067974,0.3134139885372262,6.641396605147218
109,2952,UGA,27562.387712786087,9181.070639505087,-0.2277933248585305,0.0810483840171374
110,2952,TZA,24322.973732403814,4478.1875794769085,-0.1329143748846198,0.256779934401365
114,3555,NGA,26141.64308084736,3421.4196426318767,0.3354347325488058,1.5900176405647042
123,2172,ALB,10607.56622074597,701.442649898391,-0.0549753617399629,0.0
128,2692,ROU,16302.72661472293,1256.410110184664,0.0839577916254545,1.7489078331054777
133,4178,BGD,3793304.2032583016,1954731.0588539336,-0.5125787383528724,0.0086551992709337
136,2961,BGD,1140438.7685050375,529253.4893706521,-0.4513339256279116,0.011259770621353
138,3170,KEN,17386.584869717397,4125.789337175227,-0.1700656687108924,0.5515563402429582
139,3170,UGA,45437.44438773606,17473.010487373882,-0.2757584617919646,0.0680332399755738
140,3170,TZA,38189.42596706128,5950.181703516171,-0.0838608704693474,0.2739368354258505
153,3123,KEN,16138.999656045084,3568.149559595622,-0.1301811265611667,0.7068001480846258
154,3123,EGY,181700.87554224295,50218.61065570087,-0.1676602171085678,0.3930032765445685
156,3123,UGA,46892.36795411676,18242.965030178573,-0.2771130867244258,0.065205304304297
157,3123,TZA,14612.382049159409,1867.5244646669928,-0.0485287315370996,0.6446428979742755
164,3982,SEN,19641.45010773495,756.6197772740572,0.0095548812748844,3.34617966331981
168,3982,SLE,37696.78482381236,7027.208321809322,-0.1272353108348558,0.8158409869889792
171,3633,BGD,391112.7684613077,183928.9401984361,-0.4856408239537162,0.0
173,4092,VNM,127379.44418389825,106029.6158825815,-0.7661692627449652,0.0013015285013783
174,4092,MYS,13551.1595962072,6640.1932223563645,-0.3838270038324669,0.2373924940899471
175,4092,THA,239125.80816787065,128061.15545279389,-0.5270999111164557,0.0333131362563058
177,4092,KHM,369496.7476314112,148242.98210445297,-0.3187548207987508,0.0837758637320358
180,3067,LKA,13059.582682132825,665.0767456842959,0.3086816227597013,5.369886113775201
181,3097,BGD,5335184.4408088345,2100434.388911081,-0.3921704281483366,0.0344216746531036
183,3875,KEN,12895.372351642049,2778.177173641473,-0.2051971309217722,0.6295888267925791
184,3875,UGA,42139.40293468592,15686.00401816934,-0.2512091641414322,0.0977453313546381
185,3875,TZA,17312.603463603333,3826.838845123276,-0.0738426336494185,0.2793158755421452
191,2721,NGA,19311.544912380537,9062.91643930316,-0.5019552030195311,0.0178728880515231
192,2721,CMR,10963.710847871564,8860.53974390704,-0.732617563323029,0.0
193,3737,VNM,578543.2128349191,428514.7797118507,-0.7013440480154316,1.2296558549362422e-05
194,3737,THA,335476.5373994772,167544.6442712073,-0.4804483840360911,0.0636221422140904
199,4171,BGD,12491.658182021303,7330.295748506263,-0.5873886251860732,0.0012873632391298
202,2175,TUR,149838.55169558869,30884.703412512463,-0.0480490578182918,0.9836644741287016
205,3900,PHL,1252225.0635344917,167794.55477794542,-0.027734025042516,0.8177366755793506
215,4485,PHL,501847.2013478895,71711.50486597784,-0.0448336394276923,0.7344008512584336
218,3777,PHL,194625.91863861555,40551.03286618356,-0.1021786207194638,0.6926544560487606
220,1789,BGD,11664.673252288849,5053.617861040832,-0.4658318787137111,0.0049304412943781
221,4215,LKA,28399.22184577293,4361.22204503702,0.1955060624790849,2.1733345554564347
222,4581,TUR,11657.034074208805,577.9405161760903,0.1790115245744594,5.028637094074307
231,3981,KEN,11134.15053049868,3162.8854378999026,-0.2024078822427786,0.6423697118720194
232,3981,UGA,36471.89671116005,13919.301028798593,-0.271255809585826,0.0756740859005277
233,3981,TZA,23970.72907862559,4765.537351386027,-0.18563460578291,0.1056643402397429
236,4221,TUR,76496.59829371666,15048.35846904428,-0.1179124187873782,0.487778324751649
239,4221,ROU,27377.94462637155,1957.906414660192,0.1540876723224389,3.0954776609132715
