,GID_0,CI,QR,Population,Population Coverage (%),rwi_count,QR_transformed
0,AGO,-0.26321325721410915,0.23732602694513755,33276783.522902656,97.46736684796592,3692431,-4.213612863586889
1,ALB,-0.03814193058753412,0.1529403840113607,2861622.824662612,97.99791740729574,578378,-6.538495417441335
2,ARG,-0.25087258321567685,0.44688455872962085,44809852.78303615,97.60071349394231,5056075,-2.2377143726844033
3,ARM,-0.30268908029945574,0.0,2804839.7229151772,98.6311048829838,297880,inf
5,BDI,-0.12042747528536335,0.3432280311470751,12216594.972295798,99.98541840304445,1635102,-2.913514949982318
6,BEN,-0.23647217115875752,0.3490318652421126,12555923.56625609,99.28810171309928,2026208,-2.8650679195331663
7,BFA,-0.36754300511297566,0.0066162434324329045,21437682.42167312,98.16505718204147,5156363,-151.14316911285155
8,BGD,-0.33001553542487116,0.1350660259257027,166855913.37950656,99.6532795119677,8125464,-7.403786356682186
9,BGR,0.023208573634328156,0.9436842165057626,6948524.8960773675,98.12018028019924,1431456,-1.0596765130848127
10,BIH,0.005298739962657395,0.7624829000637007,3298153.8379922905,97.2845621371359,1249248,-1.3115048218346357
11,BLZ,0.05081212287815462,1.1666231750257983,382659.3586416375,96.16257984888314,84241,1.1666231750257983
12,BOL,-0.17814159501619375,0.4737177815001069,11975480.407222841,93.40438219913597,1567665,-2.1109615029297233
13,BRA,-0.23213365414905807,0.3923822728378222,211213630.5676406,96.45466999099075,26848106,-2.5485351128829308
14,BTN,0.5481040587498769,76.72635078825381,806943.4883440585,94.67784887719041,199135,76.72635078825381
15,BWA,-0.27839340592660156,0.0,2546800.77907962,96.29115557575024,615633,inf
16,CAF,-0.336749842133804,0.03050480353872575,5324807.685315041,93.11422868750944,381032,-32.781722351711046
17,CIV,0.20726870321785684,2.0107169518314194,26771763.895120136,98.69170348886857,2546212,2.0107169518314194
18,CMR,-0.6430410224262573,0.0,26377576.735212743,98.49228720918455,2523442,inf
19,COD,-0.2769604978689162,0.14275451847739912,92763866.90274027,97.29693442277207,5628306,-7.0050322095991655
20,COG,-0.6477689092755933,0.0,5661486.744759373,97.90183928047028,233363,inf
21,COL,-0.1619227572082158,0.5740107744821701,50487264.44978428,97.13105528214602,4678909,-1.742127577486896
22,COM,,,788779.3369964879,99.28274953197908,27975,
23,CPV,,,575652.48167867,98.29111561906493,68697,
